Name,Energy (Kcals),Moisture (g),Protein (g),Fat (g),Mineral (g),Carbohydrates (g),Calcium (mg),Phosphorus (mg),Iron (mg),Price per kg,Blood Pressure,Heart Disease,Brain Health,Autoimmune Diseases,Prevent Asthma,Bone Health,Eye,Cancer
singhala,167,61,21,3,1,14,98,152,2,150,0,0,0,1,0,0,0,0
singhi,124,66,23,1,2,7,670,650,2,200,1,0,1,0,0,1,1,0
sole,94,78,16,2,1,2,140,95,0,100,1,0,0,0,0,0,0,0
sole (malabar),120,68,19,5,3,3,1072,524,0,150,1,0,0,0,0,0,0,0
"surmai, fresh",92,63,20,1,2,2,92,161,2,450,0,1,0,1,0,1,0,0
"surmai, dried",210,43,39,6,6,1,148,172,4,400,0,1,0,1,0,1,0,0
tapra,334,13,62,9,15,1,771,552,19,200,0,0,0,0,0,0,0,0
tapsi,343,16,58,12,17,1,1597,595,41,150,0,0,0,0,0,0,0,0
tartoor,79,78,18,0,2,1,1072,218,5,300,0,1,0,0,0,0,1,1
tengra fresh,144,60,19,6,2,2,270,170,2,250,0,0,0,0,1,0,0,0
tengra dried,255,14,55,45,27,0,843,400,0,200,0,0,0,0,1,0,0,0
tunny,113,72,24,2,2,1,429,349,7,550,0,1,0,0,0,0,0,0
white bait,81,79,14,1,2,2,643,437,4,75,1,0,0,1,0,0,0,0
barracuda,104,22,22,9,5,2,476,354,6,300,0,0,0,0,1,0,0,0
cobia,87,33,18,1,4,0,357,657,4,450,1,0,0,0,0,0,0,0
tilapia,128,87,26,3,6,0,643,380,4,60,0,1,0,0,0,1,0,0
croaker,79,78,18,0,2,1,1072,218,5,300,0,1,0,0,0,0,1,0
angler,90,77,20,1,1,0,16,279,1,900,0,0,0,0,0,1,0,0
bonito,274,18,52,2,16,2,6235,207,9,100,0,0,0,1,0,0,0,0
albacore,112,61,22,1,2,3,405,335,2,100,1,0,0,0,0,1,1,0
billfish,259,31,52,5,1,1,143,259,12,100,0,1,0,1,0,0,0,0
bandfish,89,67,19,1,2,1,323,278,5,600,1,0,0,0,0,0,0,0
bluefish,108,75,19,2,1,3,180,250,3,250,0,0,0,1,0,0,0,0
candlefish,334,13,62,9,15,1,771,552,19,200,0,0,0,0,0,0,0,0
catla,255,14,55,45,27,0,843,400,0,200,0,0,0,0,1,0,0,0
devario,91,66,19,2,3,0,715,741,2,150,1,0,0,0,1,0,0,0
eagle ray,210,43,39,6,6,1,148,172,4,400,0,1,0,1,0,1,0,0
escolar,255,14,55,45,27,0,843,400,0,200,0,0,0,0,1,0,0,0
finger fish,113,72,24,2,2,1,429,349,7,550,0,1,0,0,0,0,0,0
gar,100,70,16,1,1,7,330,240,1,175,0,0,1,0,0,1,0,0
